pdb,subcat,detail
320d,ligand,
321d,ligand,
322d,free,
323d,ligand,
324d,ligand,
325d,free,
326d,ligand,
327d,free,
328d,ligand,
329d,free,
330d,free,
331d,metal,co
334d,ligand,ca
335d,metal,mg
336d,ligand,mg
337d,free,
338d,free,
339d,free,
340d,free,
341d,free,
342d,free,
343d,free,
344d,free,
345d,free,
346d,free,
348d,free,
349d,free,
351d,free,
352d,metal,ca na
355d,ligand,mg
358d,ligand,
360d,ligand,mg
362d,metal,co
363d,anology,nna
365d,ligand,
366d,ligand,
367d,ligand,
368d,free,
369d,free,
370d,free,
371d,free,
372d,free,
375d,ligand,
376d,metal,co
378d,ligand,na
380d,ligand,
381d,ligand,
382d,metal,mg
383d,metal,mg
384d,metal,mg
385d,ligand,
386d,ligand,
388d,metal,mg
389d,metal,mg
390d,free,
391d,free,
392d,metal,mg
395d,free,
396d,free,
399d,free,
3ajk,ligand,mg
3ajl,ligand,mg
3ana,free,
3bm0,free,
3bna,free,
3bse,metal,ca
3c2j,ligand,
3cco,ligand,k na
3cdm,ligand,k
3ce5,ligand,k
3co3,ligand,
3dnb,metal,mg
3e9w,free,
3eil,metal,mn
3em2,ligand,k
3eqw,ligand,k
3eru,ligand,k
3es0,ligand,k
3et8,ligand,k
3eui,ligand,k
3eum,ligand,k
3ey0,ligand,k
3ey2,ligand,
3ey3,ligand,sr
3f8o,free,
3fa1,ligand,
3fl6,metal,co
3fq5,metal,mn
3fqb,metal,ba
3ft6,ligand,
3fx8,ligand,fe
3g2a,free,
3g2r,ligand,mn
3gcy,free,
3gda,free,
3gdd,ligand,mg
3ggi,metal,ti mg
3ggk,metal,rb mg
3gjh,ligand,
3gjj,ligand,
3gjk,metal,k
3gjl,metal,na
3gnk,metal,ca na
3goj,metal,ba
3gom,metal,ba
3goo,metal,sr
3gsj,ligand,na
3gsk,ligand,
3hcl,free,
3hg8,free,
3hgd,free,
3hqe,free,
3hr3,free,
3hs1,free,
3i1d,ligand,fe
3i5e,metal,ca
3i5l,ligand,ca
3iff,metal,mg
3ifi,free,
3igt,free,
3ijk,free,
3ijn,free,
3iki,metal,mg
3ixn,metal,co
3k18,free,
3kq8,metal,mg
3l1q,free,
3lln,metal,co
3lpv,metal,pt mg
3ltr,metal,mg
3ltu,free,
3mbs,anology,pna
3n4n,free,
3n4o,ligand,
3np6,ligand,mg
3nx5,ligand,ca
3nyp,ligand,k
3nz7,ligand,k
3oie,ligand,mg
3omj,ligand,ca
3opi,metal,mg na
3oz3,ligand,
3oz4,free,
3oz5,ligand,
3p4j,ligand,
3pa0,anology,pna
3pbx,metal,sr na
3q5c,free,
3q61,free,
3qf8,ligand,ba
3qk4,free,
3qrn,ligand,ba
3qsc,ligand,k
3qsf,ligand,k
3qxr,metal,k mg
3r6r,ligand,k
3r86,metal,co
3s80,ligand,ba
3sc8,ligand,k
3sd8,metal,sr
3t5e,ligand,k
3t86,metal,ca k
3t8p,metal,ca
3tci,free,
3tok,metal,na
3tvb,ligand,mg na
3u05,ligand,mg
3u08,ligand,mg
3u0u,ligand,mg
3u2n,metal,mg
3u38,ligand,ba
3u89,metal,mg
